filename,model,prompt,latency_s,ocr_chars,qr_used,error,exp_type,got_type,src_type,ok_type,exp_client,got_client,src_client,ok_client,exp_date,got_date,src_date,ok_date,exp_montant,got_montant,src_montant,ok_montant,raisonnement
01_swisscom_facture_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.94,597,True,,facture_fournisseur,,llm,False,Restaurant Le Rivage SA,Restaurant Le Rivage SA,llm,True,2026-04-15,2026-04-15,llm,True,145.5,145.5,qr,True,"Facture mensuelle Swisscom pour Restaurant Le Rivage SA, période 01.04 - 30.04.2026."
02_migros_facture_simple.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.91,458,False,,facture_fournisseur,,llm,False,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-22,2026-04-22,llm,True,373.98,373.98,llm,True,"Facture n° MIG-2026-04-7821 de Migros pour le Cabinet Médical Dr. Martin Sàrl, total TTC 373.98 CHF."
03_swisspost_rechnung_qrbill_de.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.84,572,True,,facture_fournisseur,facture_fournisseur,llm,True,Bauunternehmung Zumstein AG,Bauunternehmung Zumstein AG,llm,True,2026-04-18,2026-04-18,llm,True,231.0,231.0,qr,True,"Facture de la poste pour Bauunternehmung Zumstein AG, incluant la location de boîte postale et des services d'adresse."
04_note_frais_restaurant.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,11.30,430,False,,note_frais,note_frais,llm,True,Études Cabinet Tanguy Lachat,Études Cabinet Tanguy Lachat,llm,True,2026-04-12,2026-04-12,llm,True,133.5,133.5,llm,True,"Note de frais pour repas et boissons au Restaurant L'Auberge des Trois Vallées, facturée à Études Cabinet Tanguy Lachat."
05_releve_bancaire_ubs.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,11.32,602,False,,releve_bancaire,,llm,False,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-30,2026-04-30,llm,True,8956.82,-1800.0,llm,False,"Relevé de compte UBS pour SARL Étude Comptable Genevoise, période 01/04 - 30/04 2026. Solde final négatif = débit."
06_facture_freelance_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.88,538,True,,facture_fournisseur,,llm,False,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-25,2026-04-25,llm,True,2680.0,2680.0,qr,True,"Facture de services pour refonte identité visuelle et cartes de visite, destinée au Cabinet Médical Dr. Martin Sàrl."
07_avis_taxation_canton.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.52,611,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-10,2026-04-10,llm,True,18900.0,18900.0,llm,True,Avis de taxation définitif. Source = Administration Fiscale Cantonale = administration publique → document_fiscal.
08_sunrise_facture_qrbill.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,10.86,454,True,,facture_fournisseur,facture_fournisseur,llm,True,Étude Notariale Roulet & Associés,Étude Notariale Roulet & Associés,llm,True,2026-04-15,2026-04-30,llm,False,263.9,263.9,qr,True,"Facture Sunrise UPC adressée à Étude Notariale Roulet & Associés, total 263.9 CHF."
09_romande_energie_facture.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,513,False,ReadError: [Errno 54] Connection reset by peer,facture_fournisseur,,,False,Architecte Pierre Müller SA,,,False,2026-04-15,,,False,650.77,,,False,
10_helsana_facture_assurance.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,428,False,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Cabinet Dentaire Dr. Bernasconi,,,False,2026-04-15,,,False,7612.0,,,False,
11_postfinance_releve.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,526,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Boutique Mode Délice Sàrl,,,False,2026-04-30,,,False,-1846.2,,,False,
12_decompte_tva_t1.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,439,False,ConnectError: [Errno 61] Connection refused,document_fiscal,,,False,SARL Étude Comptable Genevoise,,,False,2026-04-02,,,False,11935.65,,,False,
13_quittance_cafe_simple.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,243,False,ConnectError: [Errno 61] Connection refused,note_frais,,,False,inconnu,,,False,2026-04-26,,,False,17.0,,,False,
14_contrat_bail_commercial.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,644,False,ConnectError: [Errno 61] Connection refused,contrat,,,False,Cabinet Avocat Vionnet & Partners,,,False,2026-05-01,,,False,4200.0,,,False,
15_avenant_mandat_honoraires.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,463,False,ConnectError: [Errno 61] Connection refused,contrat,,,False,Brasserie La Cigale Sàrl,,,False,2026-04-18,,,False,185.0,,,False,
16_lieferant_rechnung_de.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,475,False,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Treuhand Berner & Co AG,,,False,2026-04-11,,,False,2080.0,,,False,
17_recu_photo_floue.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,54,False,ConnectError: [Errno 61] Connection refused,note_frais,,,False,inconnu,,,False,2026-04-23,,,False,113.0,,,False,
18_coop_facture.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,318,False,ConnectError: [Errno 61] Connection refused,note_frais,,,False,inconnu,,,False,2026-04-17,,,False,68.5,,,False,
19_avs_facture_cotisations.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,484,False,ConnectError: [Errno 61] Connection refused,document_fiscal,,,False,Boulangerie La Mie Dorée Sàrl,,,False,2026-04-02,,,False,10187.26,,,False,
20_recu_manuscrit_artisan.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,406,False,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Cafe du Centre,,,False,2026-04-25,,,False,388.5,,,False,
21_ubs_releve_t1.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,354,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Restaurant Le Rivage SA,,,False,2026-03-31,,,False,40239.0,,,False,
22_postfinance_releve_avril.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,343,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Cabinet Médical Dr. Martin Sàrl,,,False,2026-04-30,,,False,8790.3,,,False,
23_bcv_releve_mars.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,357,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,SARL Étude Comptable Genevoise,,,False,2026-03-31,,,False,21069.5,,,False,
24_raiffeisen_releve.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,324,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Bauunternehmung Zumstein AG,,,False,2026-04-30,,,False,39114.8,,,False,
25_credit_suisse_releve.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,318,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Étude Notariale Roulet & Associés,,,False,2026-04-30,,,False,82187.2,,,False,
26_zkb_releve.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,297,False,ConnectError: [Errno 61] Connection refused,releve_bancaire,,,False,Treuhand Berner & Co AG,,,False,2026-04-30,,,False,140708.9,,,False,
27_swisspost_qr.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,295,True,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Architecte Pierre Müller SA,,,False,2026-04-14,,,False,45.8,,,False,
28_cff_facture_qr.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,359,True,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Cabinet Avocat Vionnet & Partners,,,False,2026-04-22,,,False,890.0,,,False,
29_groupemutuel_qr.pdf,qwen2.5:14b-instruct-q4_K_M,classify_v2_fewshot.txt,0.00,345,True,ConnectError: [Errno 61] Connection refused,facture_fournisseur,,,False,Cabinet Dentaire Dr. Bernasconi,,,False,2026-04-02,,,False,2410.0,,,False,
