filename,model,prompt,latency_s,ocr_chars,qr_used,error,exp_type,got_type,src_type,ok_type,exp_client,got_client,src_client,ok_client,exp_date,got_date,src_date,ok_date,exp_montant,got_montant,src_montant,ok_montant,raisonnement
01_swisscom_facture_qrbill.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,28.44,597,True,,facture_fournisseur,facture_fournisseur,llm,True,Restaurant Le Rivage SA,Restaurant Le Rivage SA,llm,True,2026-04-15,2026-04-15,llm,True,145.5,145.5,qr,True,"Facture Swisscom pour Restaurant Le Rivage SA, total 145.50 CHF."
02_migros_facture_simple.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.90,458,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-22,2026-04-22,llm,True,373.98,373.98,llm,True,"Facture Migros pour Cabinet Médical Dr. Martin Sàrl, total 373.98 CHF."
03_swisspost_rechnung_qrbill_de.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.17,572,True,,facture_fournisseur,facture_fournisseur,llm,True,Bauunternehmung Zumstein AG,Bauunternehmung Zumstein AG,llm,True,2026-04-18,2026-04-18,llm,True,231.0,231.0,qr,True,"Facture de la Poste Suisse pour Bauunternehmung Zumstein AG, total 231 CHF."
04_note_frais_restaurant.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.88,430,False,,note_frais,note_frais,llm,True,Études Cabinet Tanguy Lachat,Études Cabinet Tanguy Lachat,llm,True,2026-04-12,2026-04-12,llm,True,133.5,133.5,llm,True,"Note de frais Restaurant L'Auberge des Trois Vallées pour Études Cabinet Tanguy Lachat, total 133.50 CHF."
05_releve_bancaire_ubs.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.95,602,False,,releve_bancaire,,llm,False,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-30,2026-04-30,llm,True,8956.82,8956.82,llm,True,"Relevé de compte UBS pour SARL Étude Comptable Genevoise, période 01-30 avril 2026."
06_facture_freelance_qrbill.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,31.38,538,True,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Médical Dr. Martin Sàrl,Cabinet Médical Dr. Martin Sàrl,llm,True,2026-04-25,2026-04-25,llm,True,2680.0,2680.0,qr,True,"Facture de prestation de services (design) émise par Marie Dubois à Cabinet Médical Dr. Martin Sàrl, total 2680 CHF."
07_avis_taxation_canton.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,31.05,611,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-10,2026-04-10,llm,True,18900.0,18900.0,llm,True,"Avis de taxation définitif de l'Administration Fiscale Cantonale pour SARL Étude Comptable Genevoise, montant total dû : 18'900 CHF."
08_sunrise_facture_qrbill.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.65,454,True,,facture_fournisseur,facture_fournisseur,llm,True,Étude Notariale Roulet & Associés,Étude Notariale Roulet & Associés,llm,True,2026-04-15,2026-04-30,llm,False,263.9,263.9,qr,True,"Facture Sunrise UPC adressée à Étude Notariale Roulet & Associés, total 263.90 CHF."
09_romande_energie_facture.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,28.81,513,False,,facture_fournisseur,facture_fournisseur,llm,True,Architecte Pierre Müller SA,Architecte Pierre Müller SA,llm,True,2026-04-15,2026-04-15,llm,True,650.77,650.77,llm,True,"Facture d'électricité Romande Energie pour Architecte Pierre Müller SA, total 650.77 CHF."
10_helsana_facture_assurance.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,30.04,428,False,,facture_fournisseur,facture_fournisseur,llm,True,Cabinet Dentaire Dr. Bernasconi,Cabinet Dentaire Dr. Bernasconi,llm,True,2026-04-15,2026-06-30,llm,False,7612.0,7612.0,llm,True,"Facture Helsana pour assurance maladie et complémentaire dentaire collective du Cabinet Dentaire Dr. Bernasconi, total 7612 CHF."
11_postfinance_releve.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,29.13,526,False,,releve_bancaire,,llm,False,Boutique Mode Délice Sàrl,Boutique Mode Délice Sàrl,llm,True,2026-04-30,2026-04-30,llm,True,-1846.2,-1846.2,llm,True,"Relevé de compte PostFinance pour Boutique Mode Délice Sàrl, période 01-30 avril 2026."
12_decompte_tva_t1.pdf,llama3.3:70b-instruct-q4_K_M,classify_v2_fewshot.txt,30.84,439,False,,document_fiscal,document_fiscal,llm,True,SARL Étude Comptable Genevoise,SARL Étude Comptable Genevoise,llm,True,2026-04-02,2026-05-31,llm,False,11935.65,11935.65,llm,True,Décompte TVA AFC. Source = administration publique → document_fiscal. Le mot 'décompte' ne fait pas un relevé bancaire.
